,date,Open_x,High_x,Low_x,Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Volume_y,pct_chg
0,20100126,3094.848,3107.198,3001.956,3019.394,93507092,2.356,2.361,2.301,2.309,9614014.28,-1.7856
1,20100127,3020.54,3028.647,2972.627,2986.607,76552214,2.313,2.319,2.261,2.262,10101134.45,-2.0265
2,20100128,2985.2140000000004,3006.039,2963.891,2994.143,73365767,2.263,2.269,2.235,2.25,5968602.59,-0.5297
3,20100129,2979.743,3024.848,2968.453,2989.292,80475875,2.238,2.279,2.231,2.244,6200918.49,-0.3825
4,20100201,2981.3740000000007,2981.3740000000007,2912.887,2941.36,88147114,2.241,2.241,2.186,2.208,7001223.48,-1.5623
5,20100202,2955.753,2990.748,2930.559,2934.713,82485789,2.225,2.265,2.21,2.216,6565432.87,0.2307
6,20100203,2945.034,3005.131,2890.021,3003.835,101022537,2.227,2.283,2.193,2.282,10953975.2,2.88
7,20100204,2983.05,3015.126,2968.68,2995.308,99918364,2.261,2.279,2.247,2.265,7284769.51,-0.7217
8,20100205,2936.197,2959.233,2918.909,2939.402,97274989,2.225,2.234,2.206,2.219,6526724.33,-1.8466
9,20100208,2936.452,2954.266,2922.187,2935.1740000000004,63299582,2.22,2.234,2.202,2.212,3499845.98,-0.3814
10,20100209,2932.09,2957.474,2929.21,2948.842,62282207,2.208,2.237,2.204,2.228,4088552.83,0.8097
11,20100210,2967.138,2983.179,2958.217,2982.5,55588005,2.246,2.264,2.242,2.263,3489611.22,1.3886
12,20100211,2985.082000000001,3001.636,2976.079,2985.4990000000007,56646305,2.262,2.278,2.258,2.268,2220589.06,0.2278
13,20100212,2996.088,3018.858,2993.437,3018.133,56092124,2.275,2.291,2.271,2.287,2296410.32,0.8497
14,20100222,3016.703,3026.659,3002.811,3003.398,68505143,2.287,2.294,2.269,2.271,3950442.99,-0.6716
15,20100223,2998.907,2998.907,2938.753,2982.575,80392858,2.261,2.268,2.207,2.23,5768024.3,-1.811
16,20100224,2964.984000000001,3023.739,2955.0690000000004,3022.177,92918962,2.224,2.254,2.207,2.252,4036906.39,1.0659
17,20100225,3026.656,3063.004000000001,3022.373,3060.618,119670781,2.255,2.29,2.251,2.287,6789958.99,1.3741
18,20100226,3053.498,3067.525,3041.6890000000008,3051.943,101296291,2.279,2.293,2.276,2.28,3368786.7,-0.3643
19,20100301,3057.006,3093.095,3054.554,3087.842,111038878,2.279,2.323,2.279,2.318,4262416.93,1.6159
20,20100302,3089.706,3095.992,3060.956,3073.108,105327647,2.32,2.329,2.305,2.311,4053307.36,-0.3847
21,20100303,3074.099,3098.456,3061.467,3097.005,117156519,2.311,2.322,2.293,2.321,2974660.88,0.4194
22,20100304,3098.0690000000004,3102.398,3016.215,3023.373,126383889,2.319,2.321,2.267,2.269,5517074.14,-2.1591
23,20100305,3026.639,3044.165,3011.088,3031.065,92259665,2.272,2.2880000000000003,2.27,2.273,2679585.33,0.2658
24,20100308,3036.415,3058.832000000001,3030.905,3053.232,81011950,2.279,2.297,2.273,2.29,2459069.66,0.7382
25,20100309,3053.26,3084.85,3028.69,3069.141,92381803,2.29,2.322,2.274,2.306,4175418.25,0.7752
26,20100310,3067.15,3085.994,3034.739,3048.927,84612953,2.306,2.322,2.291,2.296,3431831.81,-0.4296
27,20100311,3050.644,3070.935,3025.309,3051.282,79872195,2.3,2.318,2.282,2.3040000000000003,5778845.75,0.3289
28,20100312,3051.474,3057.519,3011.972,3013.4120000000007,71418912,2.302,2.306,2.275,2.278,4314374.39,-1.1092
29,20100315,3010.722,3013.5170000000007,2963.494,2976.9390000000008,63749768,2.274,2.279,2.232,2.239,6464220.76,-1.4861
30,20100316,2974.487,2993.843,2963.438,2992.841,59627991,2.237,2.26,2.236,2.259,3490585.73,0.9276
31,20100317,2999.815,3050.757,2994.893,3050.4790000000007,87085699,2.265,2.3080000000000003,2.26,2.306,5761976.31,2.0149
32,20100318,3053.158,3063.586,3035.019,3046.0890000000004,91379124,2.306,2.318,2.2880000000000003,2.294,4719135.49,-0.526
33,20100319,3046.7490000000007,3069.6620000000007,3031.023,3067.75,88481189,2.293,2.316,2.282,2.314,4398742.48,0.6797
34,20100322,3069.66,3083.345,3061.759,3074.576,96499411,2.314,2.33,2.309,2.315,4953433.86,0.2634
35,20100323,3076.957000000001,3082.965,3051.211,3053.125,92867190,2.317,2.319,2.2880000000000003,2.289,3725643.04,-1.0631
36,20100324,3058.928,3076.7490000000007,3052.213,3056.808,89266365,2.299,2.312,2.2880000000000003,2.291,4030026.46,-0.0075
37,20100325,3051.356,3051.356,3012.308,3019.176,90190542,2.2840000000000003,2.2840000000000003,2.255,2.257,3738758.19,-1.4265
38,20100326,3017.215,3067.707000000001,3009.905,3059.715,93077716,2.256,2.306,2.255,2.296,4746791.63,1.4843
39,20100329,3076.048,3130.2790000000005,3071.69,3123.798,131895114,2.31,2.37,2.306,2.366,9674775.68,3.11
40,20100330,3123.832000000001,3132.576,3113.7670000000007,3128.468,102431515,2.366,2.374,2.352,2.37,4539974.65,0.1918
41,20100331,3129.574,3130.112,3101.756,3109.105,101143351,2.3680000000000003,2.372,2.343,2.35,4416231.55,-0.747
42,20100401,3111.935,3148.344,3111.935,3147.416,126779213,2.35,2.379,2.35,2.373,4932458.38,1.0966
43,20100402,3154.77,3159.598,3141.866,3157.957000000001,122789383,2.378,2.385,2.367,2.375,3605144.86,0.1093
44,20100406,3170.612,3177.968,3141.93,3158.681,116814703,2.387,2.407,2.365,2.374,5626045.41,-0.026
